id_jogador,id_time,ano,gols,assistencias,partidas,penaltis,GolsEsperadosPorJogo
1498,1778,2025,1,0,25,0,0.04
1272,3984,2025,1,1,19,0,0.05
1131,1783,2025,1,0,11,0,0.09
24556,1776,2025,1,0,22,0,0.05
22497,1780,2025,1,1,6,0,0.17
22040,1771,2025,1,0,4,0,0.25
13607,3984,2025,1,0,4,0,0.25
29012,1783,2025,1,3,11,0,0.09
260718,1767,2025,1,1,24,0,0.04
181633,1771,2025,1,3,26,0,0.04
191376,1777,2025,1,0,9,0,0.11
15452,3984,2025,1,0,23,0,0.04
169566,1780,2025,1,6,23,0,0.04
1661,1777,2025,1,2,22,0,0.05
1435,4286,2025,1,1,26,0,0.04
157533,1765,2025,1,1,16,1,0.06
95136,1778,2025,1,0,12,0,0.08
130045,1782,2025,1,1,26,0,0.04
1193,1765,2025,1,2,22,0,0.05
285271,1779,2025,1,0,8,0,0.13
203282,1780,2025,1,0,9,0,0.11
97456,4245,2025,1,0,12,0,0.08
169088,3984,2025,1,2,26,0,0.04
76337,3984,2025,1,0,13,0,0.08
13851,1837,2025,1,0,25,0,0.04
15929,1766,2025,1,1,17,0,0.06
193694,4364,2025,1,0,6,0,0.17
169004,1769,2025,1,0,8,0,0.13
13758,4245,2025,1,0,12,0,0.08
1426,4364,2025,1,0,27,0,0.04
1617,1778,2025,1,0,22,0,0.05
1380,6685,2025,1,0,20,0,0.05
103611,1779,2025,1,0,26,0,0.04
131258,1766,2025,1,0,14,0,0.07
3224,1765,2025,1,0,18,0,0.06
203264,1777,2025,1,1,26,0,0.04
2094,1783,2025,1,0,13,1,0.08
179144,4364,2025,1,4,25,1,0.04
1566,1777,2025,1,0,26,0,0.04
13419,1777,2025,1,0,24,0,0.04
103876,4245,2025,1,0,20,0,0.05
